label,video,signer_id,repetition_id,frames,fps,duration_seconds,feature_shape,face_rate,pose_rate,left_hand_rate,right_hand_rate,processing_seconds,status,error
Data,Data_05_2.mov,05,2,143,30.0,4.77,"(143, 1629)",100.0,100.0,37.06,34.27,9.18,success,
Database,database_01_1.MOV,01,1,230,30.0,7.67,"(230, 1629)",100.0,100.0,46.09,57.39,11.19,success,
Database,database_01_2.MOV,01,2,120,30.0,4.0,"(120, 1629)",100.0,100.0,49.17,54.17,10.37,success,
Database,database_02_1.MOV,02,1,106,30.0,3.53,"(106, 1629)",100.0,100.0,61.32,65.09,7.14,success,
Database,database_02_2.MOV,02,2,252,30.0,8.4,"(252, 1629)",100.0,100.0,72.62,74.6,10.53,success,
Database,database_07_1.mp4,07,1,294,59.94,4.9,"(294, 1629)",100.0,100.0,61.9,56.12,10.28,success,
Datatype,Datatype_01_1.mov,01,1,311,30.0,10.37,"(311, 1629)",100.0,100.0,50.16,38.59,22.13,success,
Datatype,Datatype_01_2.mov,01,2,222,30.0,7.4,"(222, 1629)",100.0,100.0,53.15,35.59,14.12,success,
Datatype,Datatype_02_1.mov,02,1,323,30.0,10.77,"(323, 1629)",100.0,100.0,47.06,37.15,22.68,success,
Datatype,Datatype_02_2.mov,02,2,212,30.0,7.07,"(212, 1629)",100.0,100.0,47.17,43.4,13.38,success,
Datatype,Datatype_05_1.mov,05,1,252,30.0,8.4,"(252, 1629)",100.0,100.0,55.56,22.62,12.36,success,
Datatype,Datatype_05_2.mov,05,2,183,30.0,6.1,"(183, 1629)",100.0,100.0,59.56,25.14,12.41,success,
Date,date_01_1.MOV,01,1,205,30.0,6.83,"(205, 1629)",100.0,100.0,65.85,43.9,12.37,success,
Date,date_01_2.MOV,01,2,100,30.0,3.33,"(100, 1629)",100.0,100.0,41.0,41.0,9.28,success,
Date,date_02_1.MOV,02,1,219,30.0,7.3,"(219, 1629)",100.0,100.0,73.52,50.68,13.37,success,
Date,date_02_2.MOV,02,2,120,30.0,4.0,"(120, 1629)",100.0,100.0,61.67,21.67,7.37,success,
Date,date_07_1.mp4,07,1,50,25.0,2.0,"(50, 1629)",100.0,100.0,64.0,54.0,1.79,success,
Declare,Declare_02_1.mov,02,1,188,30.0,6.27,"(188, 1629)",100.0,100.0,43.09,0.0,11.79,success,
Declare,Declare_02_2.mov,02,2,262,30.0,8.73,"(262, 1629)",100.0,100.0,50.0,0.0,18.61,success,
Declare,Declare_03_1.mov,03,1,146,30.0,4.87,"(146, 1629)",100.0,100.0,50.68,0.0,9.14,success,
Declare,Declare_03_2.mov,03,2,222,30.0,7.4,"(222, 1629)",100.0,100.0,62.61,0.0,13.88,success,
Declare,Declare_06_1.mov,06,1,113,30.0,3.77,"(113, 1629)",100.0,100.0,44.25,0.0,9.89,success,
Declare,Declare_06_2.mov,06,2,124,30.0,4.13,"(124, 1629)",100.0,100.0,50.0,0.0,7.7,success,
Definition,Definition_01_1.mov,01,1,114,30.0,3.8,"(114, 1629)",100.0,100.0,38.6,26.32,7.43,success,
Definition,Definition_01_2.mov,01,2,220,30.0,7.33,"(220, 1629)",100.0,100.0,48.18,58.18,14.03,success,
Definition,Definition_05_1.mov,05,1,93,30.0,3.1,"(93, 1629)",100.0,100.0,38.71,36.56,8.51,success,
Definition,Definition_05_2.mov,05,2,124,30.0,4.13,"(124, 1629)",100.0,100.0,37.1,35.48,8.02,success,
Definition,Definition_06_1.mov,06,1,91,30.0,3.03,"(91, 1629)",100.0,100.0,42.86,46.15,6.03,success,
Definition,Definition_06_2.mov,06,2,113,30.0,3.77,"(113, 1629)",100.0,100.0,38.94,60.18,7.16,success,
Delete-remove-pop,Delete-remove-pop_01_1.mov,01,1,176,30.0,5.87,"(176, 1629)",100.0,100.0,38.07,39.2,12.38,success,
Delete-remove-pop,Delete-remove-pop_01_2.mov,01,2,230,30.0,7.67,"(230, 1629)",100.0,100.0,61.74,56.09,10.95,success,
Delete-remove-pop,Delete-remove-pop_02_1.mov,02,1,143,30.0,4.77,"(143, 1629)",100.0,100.0,60.84,55.24,5.03,success,
Delete-remove-pop,Delete-remove-pop_02_2.mov,02,2,219,30.0,7.3,"(219, 1629)",100.0,100.0,64.38,59.36,7.78,success,
Delete-remove-pop,Delete-remove-pop_05_1.mov,05,1,159,30.0,5.3,"(159, 1629)",100.0,100.0,43.4,24.53,9.54,success,
Delete-remove-pop,Delete-remove-pop_05_2.mov,05,2,183,30.0,6.1,"(183, 1629)",100.0,100.0,50.82,43.72,14.94,success,
Depend,Depend_02_1.MOV,02,1,140,30.0,4.67,"(140, 1629)",100.0,100.0,52.14,11.43,9.47,success,
Depend,Depend_02_2.MOV,02,2,88,30.0,2.93,"(88, 1629)",100.0,100.0,37.5,5.68,6.0,success,
Depend,Depend_03_1.MOV,03,1,177,30.0,5.9,"(177, 1629)",100.0,100.0,41.81,17.51,11.49,success,
Depend,Depend_03_2.MOV,03,2,99,30.0,3.3,"(99, 1629)",100.0,100.0,33.33,18.18,9.19,success,
Depend,Depend_05_1.MOV,05,1,108,30.0,3.6,"(108, 1629)",100.0,100.0,31.48,0.93,6.85,success,
Depend,Depend_05_2.MOV,05,2,148,30.0,4.93,"(148, 1629)",100.0,100.0,35.81,0.68,8.33,success,
Derived,Derived_01_1.MOV,01,1,166,30.0,5.53,"(166, 1629)",100.0,100.0,48.8,57.23,10.67,success,
Derived,Derived_01_2.MOV,01,2,412,30.0,13.73,"(412, 1629)",100.0,100.0,62.86,68.69,27.44,success,
Derived,Derived_02_1.MOV,02,1,179,30.0,5.97,"(179, 1629)",100.0,100.0,61.45,65.92,11.28,success,
Derived,Derived_02_2.MOV,02,2,357,30.0,11.9,"(357, 1629)",100.0,100.0,58.54,75.91,16.23,success,
Derived,Derived_07_1.mp4,07,1,286,59.94,4.77,"(286, 1629)",100.0,100.0,73.78,75.17,6.67,success,
Description,Description_02_1.MOV,02,1,253,30.0,8.43,"(253, 1629)",100.0,100.0,82.21,59.29,9.1,success,
Description,Description_02_2.MOV,02,2,181,30.0,6.03,"(181, 1629)",100.0,100.0,71.82,46.41,6.47,success,
Description,Description_03_1.MOV,03,1,295,30.0,9.83,"(295, 1629)",100.0,100.0,73.9,49.83,21.72,success,
Description,Description_03_2.MOV,03,2,215,30.0,7.17,"(215, 1629)",100.0,100.0,60.93,41.86,9.9,success,
Description,Description_05_1.MOV,05,1,229,30.0,7.63,"(229, 1629)",100.0,100.0,55.9,38.43,8.58,success,
Description,Description_05_2.MOV,05,2,186,30.0,6.2,"(186, 1629)",100.0,100.0,49.46,36.56,9.72,success,
Destroy,Destroy_01_1.mov,01,1,122,30.0,4.07,"(122, 1629)",100.0,100.0,24.59,21.31,7.27,success,
Destroy,Destroy_01_2.mov,01,2,150,30.0,5.0,"(150, 1629)",100.0,100.0,28.0,29.33,9.13,success,
Destroy,Destroy_02_1.mov,02,1,135,30.0,4.5,"(135, 1629)",100.0,100.0,35.56,31.85,8.63,success,
Destroy,Destroy_02_2.mov,02,2,180,30.0,6.0,"(180, 1629)",100.0,100.0,41.11,40.0,12.78,success,
Destroy,Destroy_05_1.mov,05,1,206,30.0,6.87,"(206, 1629)",100.0,100.0,32.52,25.73,12.49,success,
Destroy,Destroy_05_2.mov,05,2,217,30.0,7.23,"(217, 1629)",100.0,100.0,33.18,25.35,14.22,success,
Diamond,diamond_01_1.MOV,01,1,187,30.0,6.23,"(187, 1629)",100.0,100.0,45.99,60.43,14.93,success,
Diamond,diamond_01_2.MOV,01,2,118,30.0,3.93,"(118, 1629)",100.0,100.0,37.29,33.9,8.42,success,
Diamond,diamond_02_1.MOV,02,1,262,30.0,8.73,"(262, 1629)",100.0,100.0,45.8,72.9,10.21,success,
Diamond,diamond_02_2.MOV,02,2,120,30.0,4.0,"(120, 1629)",100.0,100.0,47.5,62.5,11.38,success,
Diamond,diamond_07_1.mp4,07,1,65,25.0,2.6,"(65, 1629)",100.0,100.0,70.77,60.0,2.71,success,
Disjoint,disjoint_01_1.MOV,01,1,137,30.0,4.57,"(137, 1629)",100.0,100.0,47.45,49.64,8.98,success,
Disjoint,disjoint_01_2.MOV,01,2,109,30.0,3.63,"(109, 1629)",100.0,100.0,29.36,31.19,7.05,success,
Disjoint,disjoint_02_1.MOV,02,1,162,30.0,5.4,"(162, 1629)",100.0,100.0,67.9,67.9,9.76,success,
Disjoint,disjoint_02_2.MOV,02,2,89,30.0,2.97,"(89, 1629)",100.0,100.0,59.55,59.55,8.27,success,
Disjoint,disjoint_07_1.mp4,07,1,55,25.0,2.2,"(55, 1629)",100.0,100.0,60.0,58.18,1.98,success,
Domain,domain_01_1.MOV,01,1,238,30.0,7.93,"(238, 1629)",100.0,100.0,49.58,60.92,12.68,success,
Domain,domain_01_2.MOV,01,2,127,30.0,4.23,"(127, 1629)",100.0,100.0,29.13,54.33,4.53,success,
Domain,domain_02_1.MOV,02,1,267,30.0,8.9,"(267, 1629)",100.0,100.0,48.69,72.28,9.27,success,
Domain,domain_02_2.MOV,02,2,137,30.0,4.57,"(137, 1629)",100.0,100.0,44.53,59.85,7.69,success,
Domain,domain_07_1.mp4,07,1,171,59.94,2.85,"(171, 1629)",100.0,100.0,74.85,80.7,4.56,success,
dot operator,dot operator_02_1.mov,02,1,86,30.0,2.87,"(86, 1629)",100.0,100.0,34.88,0.0,3.11,success,
dot operator,dot operator_02_2.mov,02,2,184,30.0,6.13,"(184, 1629)",100.0,100.0,66.85,0.0,6.61,success,
dot operator,dot operator_03_1.mov,03,1,83,30.0,2.77,"(83, 1629)",100.0,100.0,36.14,0.0,3.21,success,
dot operator,dot operator_03_2.mov,03,2,141,30.0,4.7,"(141, 1629)",100.0,100.0,43.26,0.0,6.25,success,
dot operator,dot operator_06_1.mov,06,1,91,30.0,3.03,"(91, 1629)",100.0,100.0,28.57,0.0,5.9,success,
dot operator,dot operator_06_2.mov,06,2,96,30.0,3.2,"(96, 1629)",100.0,100.0,34.38,0.0,8.79,success,
Double,Double_02_1.mov,02,1,124,30.0,4.13,"(124, 1629)",100.0,100.0,30.65,47.58,7.39,success,
Double,Double_02_2.mov,02,2,242,30.0,8.07,"(242, 1629)",100.0,100.0,51.65,73.97,16.27,success,
Double,Double_03_1.mov,03,1,109,30.0,3.63,"(109, 1629)",100.0,100.0,34.86,54.13,8.68,success,
Double,Double_03_3.mov,03,3,163,30.0,5.43,"(163, 1629)",100.0,100.0,39.88,65.03,13.17,success,
Double,Double_06_1.mov,06,1,92,30.0,3.07,"(92, 1629)",100.0,100.0,36.96,40.22,6.83,success,
Double,Double_06_2.mov,06,2,127,30.0,4.23,"(127, 1629)",100.0,100.0,40.16,45.67,8.9,success,
element,element_03_1.MOV,03,1,165,30.0,5.5,"(165, 1629)",100.0,100.0,58.18,3.64,12.26,success,
element,element_03_2.MOV,03,2,108,30.0,3.6,"(108, 1629)",100.0,100.0,43.52,0.0,10.72,success,
element,element_05_1.MOV,05,1,138,30.0,4.6,"(138, 1629)",100.0,100.0,47.1,2.17,8.61,success,
element,element_05_2.MOV,05,2,124,30.0,4.13,"(124, 1629)",100.0,100.0,36.29,3.23,8.36,success,
element,element_06_1.MOV,06,1,98,30.0,3.27,"(98, 1629)",100.0,100.0,54.08,0.0,6.5,success,
element,element_06_2.MOV,06,2,107,30.0,3.57,"(107, 1629)",100.0,100.0,31.78,0.0,9.28,success,
Else,Else_01_1.MOV,01,1,120,30.0,4.0,"(120, 1629)",100.0,100.0,34.17,0.0,7.68,success,
Else,Else_01_2.MOV,01,2,197,30.0,6.57,"(197, 1629)",100.0,100.0,48.22,0.0,13.45,success,
Else,Else_05_1.MOV,05,1,83,30.0,2.77,"(83, 1629)",100.0,100.0,31.33,0.0,5.97,success,
Else,Else_05_2.MOV,05,2,101,30.0,3.37,"(101, 1629)",100.0,100.0,36.63,0.0,10.14,success,
Else,Else_06_1.MOV,06,1,83,30.0,2.77,"(83, 1629)",100.0,100.0,26.51,0.0,6.07,success,
Else,Else_06_2.MOV,06,2,109,30.0,3.63,"(109, 1629)",100.0,100.0,40.37,0.0,8.2,success,
End,End_01_1.MOV,01,1,110,30.0,3.67,"(110, 1629)",100.0,100.0,51.82,51.82,7.9,success,
End,End_01_2.MOV,01,2,207,30.0,6.9,"(207, 1629)",100.0,100.0,49.76,36.71,13.38,success,
End,End_05_1.MOV,05,1,108,30.0,3.6,"(108, 1629)",100.0,100.0,37.04,39.81,9.48,success,
End,End_05_2.MOV,05,2,137,30.0,4.57,"(137, 1629)",100.0,100.0,59.85,53.28,8.26,success,
End,End_06_1.MOV,06,1,99,30.0,3.3,"(99, 1629)",100.0,100.0,47.47,53.54,6.33,success,
End,End_06_2.MOV,06,2,122,30.0,4.07,"(122, 1629)",100.0,100.0,61.48,60.66,7.62,success,
Equal_equlaity,Equal_equlaity_01_1.mov,01,1,140,30.0,4.67,"(140, 1629)",100.0,100.0,40.71,40.71,8.53,success,
Equal_equlaity,Equal_equlaity_01_2.mov,01,2,210,30.0,7.0,"(210, 1629)",100.0,100.0,56.67,62.38,15.93,success,
Equal_equlaity,Equal_equlaity_02_1.mov,02,1,162,30.0,5.4,"(162, 1629)",100.0,100.0,52.47,48.77,10.45,success,
Equal_equlaity,Equal_equlaity_02_2.mov,02,2,248,30.0,8.27,"(248, 1629)",100.0,100.0,54.44,53.63,11.29,success,
Equal_equlaity,Equal_equlaity_05_1.mov,05,1,175,30.0,5.83,"(175, 1629)",100.0,100.0,46.29,42.29,8.94,success,
Equal_equlaity,Equal_equlaity_05_2.mov,05,2,229,30.0,7.63,"(229, 1629)",100.0,100.0,48.03,45.41,8.12,success,
Error,Error_01_1.mov,01,1,144,30.0,4.8,"(144, 1629)",100.0,100.0,27.78,0.0,5.09,success,
Error,Error_01_2.mov,01,2,224,30.0,7.47,"(224, 1629)",100.0,100.0,50.0,0.45,7.83,success,
Error,Error_02_1.mov,02,1,166,30.0,5.53,"(166, 1629)",100.0,100.0,51.2,0.0,6.21,success,
Error,Error_02_2.mov,02,2,234,30.0,7.8,"(234, 1629)",100.0,100.0,51.71,0.0,10.88,success,
Error,Error_05_1.mov,05,1,157,30.0,5.23,"(157, 1629)",100.0,100.0,40.76,1.27,5.56,success,
Error,Error_05_2.mov,05,2,228,30.0,7.6,"(228, 1629)",100.0,100.0,29.39,0.88,7.88,success,
Example,Example_01_1.mov,01,1,134,30.0,4.47,"(134, 1629)",100.0,100.0,32.09,0.0,4.74,success,
Example,Example_01_2.mov,01,2,163,30.0,5.43,"(163, 1629)",100.0,100.0,42.94,0.0,5.71,success,
Example,Example_02_1.mov,02,1,130,30.0,4.33,"(130, 1629)",100.0,100.0,43.08,0.0,7.27,success,
Example,Example_02_2.mov,02,2,232,30.0,7.73,"(232, 1629)",100.0,100.0,56.47,0.0,7.99,success,
Example,Example_05_1.mov,05,1,156,30.0,5.2,"(156, 1629)",100.0,100.0,40.38,0.0,5.54,success,
Example,Example_05_2.mov,05,2,175,30.0,5.83,"(175, 1629)",100.0,100.0,43.43,0.0,6.2,success,
Exercise,Exercise_02_1.MOV,02,1,131,30.0,4.37,"(131, 1629)",100.0,100.0,53.44,0.0,4.67,success,
Exercise,Exercise_02_2.MOV,02,2,170,30.0,5.67,"(170, 1629)",100.0,100.0,59.41,0.0,6.31,success,
Exercise,Exercise_03_1.MOV,03,1,113,30.0,3.77,"(113, 1629)",100.0,100.0,45.13,0.0,6.76,success,
Exercise,Exercise_03_2.MOV,03,2,189,30.0,6.3,"(189, 1629)",100.0,100.0,64.02,0.0,6.72,success,
Exercise,Exercise_06_1.MOV,06,1,109,30.0,3.63,"(109, 1629)",100.0,100.0,34.86,0.0,6.18,success,
Exercise,Exercise_06_2.MOV,06,2,108,30.0,3.6,"(108, 1629)",100.0,100.0,50.0,0.0,8.08,success,
Exist,Exist_01_1.MOV,01,1,164,30.0,5.47,"(164, 1629)",100.0,100.0,16.46,34.15,10.99,success,
Exist,Exist_01_2.MOV,01,2,100,30.0,3.33,"(100, 1629)",100.0,100.0,32.0,34.0,9.22,success,
Exist,Exist_05_1.MOV,05,1,139,30.0,4.63,"(139, 1629)",100.0,100.0,33.09,32.37,9.0,success,
Exist,Exist_05_2.MOV,05,2,116,30.0,3.87,"(116, 1629)",100.0,100.0,25.0,24.14,7.92,success,
Exist,Exist_06_1.MOV,06,1,125,30.0,4.17,"(125, 1629)",100.0,100.0,30.4,28.8,8.57,success,
Exist,Exist_06_2.MOV,06,2,105,30.0,3.5,"(105, 1629)",100.0,100.0,32.38,31.43,9.89,success,
Figure,Figure_01_1.mov,01,1,91,30.0,3.03,"(91, 1629)",100.0,100.0,30.77,24.18,6.26,success,
Figure,Figure_01_2.MOV,01,2,145,30.0,4.83,"(145, 1629)",100.0,100.0,58.62,55.17,9.61,success,
Figure,Figure_05_1.MOV,05,1,116,30.0,3.87,"(116, 1629)",100.0,100.0,28.45,31.03,7.43,success,
Figure,Figure_05_2.mov,05,2,112,30.0,3.73,"(112, 1629)",100.0,100.0,46.43,45.54,10.55,success,
Figure,Figure_06_1.mov,06,1,88,30.0,2.93,"(88, 1629)",100.0,100.0,47.73,47.73,5.65,success,
Figure,Figure_06_2.mov,06,2,82,30.0,2.73,"(82, 1629)",100.0,100.0,39.02,41.46,5.85,success,
First out,First out_02_1.MOV,02,1,136,30.0,4.53,"(136, 1629)",100.0,100.0,31.62,36.76,10.19,success,
First out,First out_02_2.MOV,02,2,163,30.0,5.43,"(163, 1629)",100.0,100.0,52.15,36.81,11.21,success,
First out,First out_03_1.MOV,03,1,229,30.0,7.63,"(229, 1629)",100.0,100.0,68.12,55.02,17.14,success,
First out,First out_03_2.MOV,03,2,154,30.0,5.13,"(154, 1629)",100.0,100.0,45.45,31.82,7.11,success,
First out,First out_05_1.MOV,05,1,157,30.0,5.23,"(157, 1629)",100.0,100.0,48.41,26.11,5.78,success,
First out,First out_05_2.MOV,05,2,122,30.0,4.07,"(122, 1629)",100.0,100.0,43.44,18.03,7.47,success,
First out,First out_06_1.MOV,06,1,116,30.0,3.87,"(116, 1629)",100.0,100.0,63.79,73.28,9.96,success,
First out,First out_06_2.MOV,06,2,142,30.0,4.73,"(142, 1629)",100.0,100.0,50.0,35.21,9.02,success,
Foreign key,Foreign key_01_1.MOV,01,1,152,30.0,5.07,"(152, 1629)",100.0,100.0,45.39,42.76,9.46,success,
Foreign key,Foreign key_01_2.MOV,01,2,236,30.0,7.87,"(236, 1629)",100.0,100.0,57.63,69.92,13.94,success,
Foreign key,Foreign key_02_1.MOV,02,1,216,30.0,7.2,"(216, 1629)",100.0,100.0,75.0,87.04,15.94,success,
Foreign key,Foreign key_02_2.MOV,02,2,155,30.0,5.17,"(155, 1629)",100.0,100.0,60.65,67.1,9.83,success,
Foreign key,Foreign key_07_1.mp4,07,1,196,59.94,3.27,"(196, 1629)",100.0,100.0,81.12,85.71,4.55,success,
Front,Front_01_1.MOV,01,1,105,30.0,3.5,"(105, 1629)",100.0,100.0,29.52,0.0,3.75,success,
Front,Front_01_2.MOV,01,2,157,30.0,5.23,"(157, 1629)",100.0,100.0,43.95,0.0,8.15,success,
Front,Front_05_1.MOV,05,1,106,30.0,3.53,"(106, 1629)",100.0,100.0,39.62,37.74,3.9,success,
Front,Front_05_2.MOV,05,2,114,30.0,3.8,"(114, 1629)",100.0,100.0,43.86,43.86,5.64,success,
Front,Front_06_1.MOV,06,1,97,30.0,3.23,"(97, 1629)",100.0,100.0,35.05,38.14,6.58,success,
Front,Front_06_2.MOV,06,2,98,30.0,3.27,"(98, 1629)",100.0,100.0,42.86,46.94,6.49,success,
Full,Full_01_1.MOV,01,1,90,30.0,3.0,"(90, 1629)",100.0,100.0,17.78,11.11,5.71,success,
Full,Full_01_2.MOV,01,2,141,30.0,4.7,"(141, 1629)",100.0,100.0,37.59,38.3,11.75,success,
Full,Full_05_1.MOV,05,1,119,30.0,3.97,"(119, 1629)",100.0,100.0,26.05,28.57,7.61,success,
Full,Full_05_2.MOV,05,2,98,30.0,3.27,"(98, 1629)",100.0,100.0,56.12,57.14,6.3,success,
Full,Full_06_1.MOV,06,1,96,30.0,3.2,"(96, 1629)",100.0,100.0,31.25,32.29,6.1,success,
Full,Full_06_2.MOV,06,2,116,30.0,3.87,"(116, 1629)",99.14,100.0,32.76,32.76,7.14,success,
Function,function_01_1.MOV,01,1,175,30.0,5.83,"(175, 1629)",100.0,100.0,26.86,51.43,13.55,success,
Function,function_01_2.MOV,01,2,85,30.0,2.83,"(85, 1629)",100.0,100.0,37.65,34.12,5.52,success,
Function,function_02_1.MOV,02,1,129,30.0,4.3,"(129, 1629)",100.0,100.0,51.16,68.99,7.78,success,
Function,function_02_2.MOV,02,2,201,30.0,6.7,"(201, 1629)",100.0,100.0,45.27,66.17,12.3,success,
Function,function_07_1.mp4,07,1,224,59.94,3.74,"(224, 1629)",100.0,100.0,63.84,66.96,9.62,success,
Graphics,Graphics_02_1.MOV,02,1,273,30.0,9.1,"(273, 1629)",100.0,100.0,58.24,80.95,11.98,success,
Graphics,Graphics_02_2.MOV,02,2,129,30.0,4.3,"(129, 1629)",100.0,100.0,48.06,52.71,4.63,success,
Graphics,Graphics_03_1.MOV,03,1,172,30.0,5.73,"(172, 1629)",100.0,100.0,44.19,52.33,6.12,success,
Graphics,Graphics_03_2.MOV,03,2,312,30.0,10.4,"(312, 1629)",100.0,100.0,56.09,64.42,10.89,success,
Graphics,Graphics_05_1.MOV,05,1,147,30.0,4.9,"(147, 1629)",100.0,100.0,40.82,40.14,8.14,success,
Graphics,Graphics_05_2.MOV,05,2,157,30.0,5.23,"(157, 1629)",100.0,100.0,60.51,55.41,7.84,success,
Hashtag,Hashtag_01_1.MOV,01,1,95,30.0,3.17,"(95, 1629)",100.0,100.0,44.21,0.0,5.81,success,
Hashtag,Hashtag_01_2.MOV,01,2,161,30.0,5.37,"(161, 1629)",100.0,100.0,55.9,0.0,10.66,success,
Hashtag,Hashtag_05_1.MOV,05,1,93,30.0,3.1,"(93, 1629)",100.0,100.0,46.24,0.0,7.38,success,
Hashtag,Hashtag_05_2.MOV,05,2,113,30.0,3.77,"(113, 1629)",100.0,100.0,53.1,0.0,10.9,success,
Hashtag,Hashtag_06_1.MOV,06,1,85,30.0,2.83,"(85, 1629)",100.0,100.0,48.24,0.0,5.49,success,
Hashtag,Hashtag_06_2.MOV,06,2,111,30.0,3.7,"(111, 1629)",100.0,100.0,52.25,0.0,7.42,success,
Higher,Higher_01_1.MOV,01,1,106,30.0,3.53,"(106, 1629)",100.0,100.0,26.42,51.89,7.11,success,
Higher,Higher_01_2.MOV,01,2,168,30.0,5.6,"(168, 1629)",100.0,100.0,42.86,58.93,12.18,success,
Higher,Higher_03_1.MOV,03,1,105,30.0,3.5,"(105, 1629)",100.0,100.0,26.67,22.86,10.03,success,
Higher,Higher_03_2.MOV,03,2,126,30.0,4.2,"(126, 1629)",100.0,100.0,29.37,34.92,8.56,success,
Higher,Higher_06_1.MOV,06,1,103,30.0,3.43,"(103, 1629)",100.0,100.0,43.69,42.72,7.39,success,
Higher,Higher_06_2.MOV,06,2,115,30.0,3.83,"(115, 1629)",100.0,100.0,48.7,52.17,8.11,success,
Hold,Hold_01_1.MOV,01,1,161,30.0,5.37,"(161, 1629)",100.0,100.0,36.65,43.48,13.25,success,
Hold,Hold_01_2.MOV,01,2,232,30.0,7.73,"(232, 1629)",100.0,100.0,39.22,55.17,15.91,success,
Hold,Hold_05_1.MOV,05,1,123,30.0,4.1,"(123, 1629)",100.0,100.0,38.21,38.21,6.38,success,
Hold,Hold_05_2.MOV,05,2,142,30.0,4.73,"(142, 1629)",100.0,100.0,47.89,40.14,11.03,success,
Hold,Hold_06_1.MOV,06,1,90,30.0,3.0,"(90, 1629)",100.0,100.0,46.67,27.78,6.13,success,
Hold,Hold_06_2.MOV,06,2,131,30.0,4.37,"(131, 1629)",100.0,100.0,51.91,48.85,8.68,success,
Id- identifier,Id- identifier_02_1.MOV,02,1,178,30.0,5.93,"(178, 1629)",100.0,100.0,76.97,0.0,11.11,success,
Id- identifier,Id- identifier_02_2.MOV,02,2,128,30.0,4.27,"(128, 1629)",100.0,100.0,56.25,0.0,11.45,success,
Id- identifier,Id- identifier_03_1.MOV,03,1,128,30.0,4.27,"(128, 1629)",100.0,100.0,50.0,0.0,8.53,success,
Id- identifier,Id- identifier_03_2.MOV,03,2,177,30.0,5.9,"(177, 1629)",100.0,100.0,48.59,0.0,12.71,success,
Id- identifier,Id- identifier_05_1.MOV,05,1,147,30.0,4.9,"(147, 1629)",100.0,100.0,45.58,0.0,12.06,success,
Id- identifier,Id- identifier_05_2.MOV,05,2,140,30.0,4.67,"(140, 1629)",100.0,100.0,37.14,2.14,8.74,success,
If,If_01_1.MOV,01,1,130,30.0,4.33,"(130, 1629)",100.0,100.0,56.15,29.23,8.41,success,
If,If_01_2.MOV,01,2,179,30.0,5.97,"(179, 1629)",100.0,100.0,62.57,37.43,11.56,success,
If,If_05_1.MOV,05,1,119,30.0,3.97,"(119, 1629)",100.0,100.0,56.3,28.57,10.22,success,
If,If_05_2.MOV,05,2,139,30.0,4.63,"(139, 1629)",100.0,100.0,58.27,30.22,9.09,success,
If,If_06_1.MOV,06,1,130,30.0,4.33,"(130, 1629)",100.0,100.0,50.77,26.92,9.05,success,
If,If_06_2.MOV,06,2,155,30.0,5.17,"(155, 1629)",100.0,100.0,60.65,30.97,10.06,success,
Inaccessible,Inaccessible_02_1.MOV,02,1,187,30.0,6.23,"(187, 1629)",100.0,100.0,49.2,23.53,14.63,success,
Inaccessible,Inaccessible_02_2.MOV,02,2,103,30.0,3.43,"(103, 1629)",100.0,100.0,39.81,32.04,6.81,success,
Inaccessible,Inaccessible_03_1.MOV,03,1,195,30.0,6.5,"(195, 1629)",100.0,100.0,47.69,24.62,7.56,success,
Inaccessible,Inaccessible_03_2.MOV,03,2,126,30.0,4.2,"(126, 1629)",100.0,100.0,35.71,20.63,7.58,success,
Inaccessible,Inaccessible_05_1.MOV,05,1,134,30.0,4.47,"(134, 1629)",100.0,100.0,29.85,25.37,10.91,success,
Inaccessible,Inaccessible_05_2.MOV,05,2,148,30.0,4.93,"(148, 1629)",100.0,100.0,47.3,37.16,8.88,success,
Include,include_03_1.MOV,03,1,138,30.0,4.6,"(138, 1629)",100.0,100.0,67.39,21.74,8.76,success,
Include,include_03_2.MOV,03,2,199,30.0,6.63,"(199, 1629)",100.0,100.0,63.32,23.62,12.53,success,
Include,include_05_1.MOV,05,1,193,30.0,6.43,"(193, 1629)",100.0,100.0,51.81,18.65,14.75,success,
Include,include_05_2.MOV,05,2,150,30.0,5.0,"(150, 1629)",100.0,100.0,42.67,14.0,9.29,success,
Include,include_06_1.MOV,06,1,142,30.0,4.73,"(142, 1629)",100.0,100.0,66.9,27.46,8.68,success,
Include,include_06_2.MOV,06,2,134,30.0,4.47,"(134, 1629)",100.0,100.0,54.48,20.9,11.07,success,
Index,Index_01_1.MOV,01,1,119,30.0,3.97,"(119, 1629)",100.0,100.0,57.98,48.74,7.19,success,
Index,Index_01_2.MOV,01,2,166,30.0,5.53,"(166, 1629)",100.0,100.0,70.48,54.82,10.45,success,
Index,Index_05_1.MOV,05,1,141,30.0,4.7,"(141, 1629)",100.0,100.0,54.61,43.97,8.58,success,
Index,Index_05_2.MOV,05,2,184,30.0,6.13,"(184, 1629)",100.0,100.0,57.07,55.98,14.01,success,
Index,Index_06_1.MOV,06,1,148,30.0,4.93,"(148, 1629)",100.0,100.0,62.84,62.84,9.27,success,
Index,Index_06_2.MOV,06,2,133,30.0,4.43,"(133, 1629)",100.0,100.0,54.89,55.64,8.59,success,
Information,information_01_1.MOV,01,1,205,30.0,6.83,"(205, 1629)",100.0,100.0,65.85,0.0,10.06,success,
